manufacturer,model,missing_fixed_field,reason
Generac,SD1250,rated_power_kva,not_supported_from_current_official_source_set
Generac,SD1250,voltage_v,not_supported_from_current_official_source_set
Generac,SD1250,power_factor,not_supported_from_current_official_source_set
Generac,SD1500,rated_power_kva,not_supported_from_current_official_source_set
Generac,SD1500,voltage_v,not_supported_from_current_official_source_set
Generac,SD1500,power_factor,not_supported_from_current_official_source_set
Generac,SD1500,standby_or_prime_rating,not_supported_from_current_official_source_set
Generac,SDMD2250,rated_power_kw,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD2250,rated_power_kva,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD2250,voltage_v,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD2250,frequency_hz,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD2250,power_factor,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD2250,standby_or_prime_rating,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD2500,voltage_v,not_supported_from_current_official_source_set
Generac,SDMD3000,rated_power_kw,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD3000,rated_power_kva,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD3000,voltage_v,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD3000,frequency_hz,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD3000,power_factor,model_specific_official_pdf_not_confirmed_or_not_parsed
Generac,SDMD3000,standby_or_prime_rating,model_specific_official_pdf_not_confirmed_or_not_parsed
Rehlko,KD1250,voltage_v,not_supported_from_current_official_source_set
Rehlko,KD1500,voltage_v,not_supported_from_current_official_source_set
Rehlko,KD1750,voltage_v,not_supported_from_current_official_source_set
Rehlko,KD2000,voltage_v,not_supported_from_current_official_source_set
Rehlko,KD2500,voltage_v,not_supported_from_current_official_source_set
Rolls-Royce / mtu,12V4000 DS1650,rated_power_kw,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS1650,rated_power_kva,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS1650,voltage_v,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS1650,power_factor,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS1650,standby_or_prime_rating,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS2000,rated_power_kw,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS2000,rated_power_kva,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS2000,voltage_v,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS2000,power_factor,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,12V4000 DS2000,standby_or_prime_rating,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,16V4000 DS2500,rated_power_kva,not_supported_from_current_official_source_set
Rolls-Royce / mtu,16V4000 DS2500,voltage_v,not_supported_from_current_official_source_set
Rolls-Royce / mtu,16V4000 DS2500,power_factor,not_supported_from_current_official_source_set
Rolls-Royce / mtu,20V4000 DS2750,rated_power_kw,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS2750,rated_power_kva,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS2750,voltage_v,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS2750,power_factor,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS2750,standby_or_prime_rating,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS3100,rated_power_kw,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS3100,rated_power_kva,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS3100,voltage_v,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS3100,power_factor,model_specific_official_pdf_not_confirmed_or_not_parsed
Rolls-Royce / mtu,20V4000 DS3100,standby_or_prime_rating,model_specific_official_pdf_not_confirmed_or_not_parsed
Caterpillar,C18,rated_power_kw,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C18,rated_power_kva,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C18,voltage_v,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C18,frequency_hz,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C18,power_factor,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C18,standby_or_prime_rating,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C27,rated_power_kw,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C27,rated_power_kva,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C27,voltage_v,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C27,frequency_hz,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C27,power_factor,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C27,standby_or_prime_rating,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C32,rated_power_kw,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C32,rated_power_kva,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C32,voltage_v,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C32,frequency_hz,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C32,power_factor,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,C32,standby_or_prime_rating,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3512,rated_power_kw,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3512,rated_power_kva,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3512,voltage_v,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3512,frequency_hz,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3512,power_factor,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3512,standby_or_prime_rating,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3516C,rated_power_kw,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3516C,rated_power_kva,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3516C,voltage_v,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3516C,frequency_hz,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3516C,power_factor,platform_or_family_identifier_not_single_fixed_variant
Caterpillar,3516C,standby_or_prime_rating,platform_or_family_identifier_not_single_fixed_variant
Cummins,C600D6E,voltage_v,not_supported_from_current_official_source_set
Cummins,C600D6E,standby_or_prime_rating,not_supported_from_current_official_source_set
Cummins,C1000D6ED,voltage_v,not_supported_from_current_official_source_set
Cummins,C1000D6ED,standby_or_prime_rating,not_supported_from_current_official_source_set
Cummins,C1250D6E,voltage_v,not_supported_from_current_official_source_set
Cummins,C2000D6E,voltage_v,not_supported_from_current_official_source_set
Cummins,C3000D6EB,rated_power_kw,model_specific_official_pdf_not_confirmed_or_not_parsed
Cummins,C3000D6EB,rated_power_kva,model_specific_official_pdf_not_confirmed_or_not_parsed
Cummins,C3000D6EB,voltage_v,model_specific_official_pdf_not_confirmed_or_not_parsed
Cummins,C3000D6EB,power_factor,model_specific_official_pdf_not_confirmed_or_not_parsed
Cummins,C3000D6EB,standby_or_prime_rating,model_specific_official_pdf_not_confirmed_or_not_parsed
